::tag,,,,,
id,icon,color,name,user_id,default_tag
{{genGuid()}},sky,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},netflix,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},disney,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},swisscom,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},sunrise,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},salt,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},spotify,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},prime,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},hulu,{{useGuid(tag-sub)}},{{useVar(user_id)}},,
{{genGuid()}},apotheke,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},arzt,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},krankenhaus,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},medizin,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},spital,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},drogerie,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},pharmacie,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},klinik,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},physio,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},zahn,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},auge,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},brille,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},fielman,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
{{genGuid()}},visilab,{{useGuid(tag-hea)}},{{useVar(user_id)}},,
